Serial Number,House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion,Age Group,Occupation Category
10137,5,Bentley Lane,Robin,Brown-Gallagher,22,Son,Divorced,Male,University Student,Not Specified,Unknown,20-24,Tech
10136,5,Bentley Lane,Tom,Brown-Gallagher,26,Son,Single,Male,Holiday representative,Not Specified,Unknown,25-29,Other
10135,5,Bentley Lane,Graeme,Brown-Gallagher,50,Husband,Married,Male,Biomedical scientist,Not Specified,Unknown,50-54,Medical
1635,5,Inner Avenue,Katherine,Bryant,34,Head,Single,Female,"Engineer, electrical",Not Specified,Catholic,30-34,Engineering
3984,5,Evans Drive,Liam,Burrows,19,Head,Single,Male,University Student,Not Specified,Christian,15-19,Tech
1018,5,Paper Cape,Gemma,Butler,52,Head,Single,Female,"Horticulturist, commercial",Not Specified,Catholic,50-54,Other
3732,5,Spider Avenue,Jake,Cameron,38,Son,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",Not Specified,Unknown,35-39,Medical
3731,5,Spider Avenue,Malcolm,Cameron,39,Son,Single,Male,"Journalist, newspaper",Not Specified,Unknown,35-39,Media & Entertainment
3730,5,Spider Avenue,Rhys,Cameron,43,Son,Single,Male,Magazine features editor,Not Specified,Unknown,40-44,Tech
3729,5,Spider Avenue,Clive,Cameron,74,Husband,Married,Male,Retired Metallurgist,Not Specified,Unknown,70-74,Retired
3728,5,Spider Avenue,Heather,Cameron,75,Head,Married,Female,"Retired Accountant, chartered public finance",Not Specified,Unknown,75-79,Retired
6716,5,Zigzag Mall,Conor,Carr,41,Head,Single,Male,Unemployed,Not Specified,Unknown,40-44,Unemployed
6717,5,Zigzag Mall,Mathew,Carr,53,Cousin,Single,Male,Interior and spatial designer,Not Specified,Unknown,50-54,Creative Arts
4770,5,February Lodge,Brett,Chadwick,19,Son,Single,Male,University Student,Not Specified,Unknown,15-19,Tech
4769,5,February Lodge,Denise,Chadwick,26,Daughter,Divorced,Female,"Psychotherapist, child",Not Specified,Unknown,25-29,Medical
4768,5,February Lodge,Nicola,Chadwick,28,Daughter,Single,Female,Government social research officer,Not Specified,Christian,25-29,Management
4767,5,February Lodge,Mohammad,Chadwick,34,Husband,Married,Male,Forest/woodland manager,Not Specified,Christian,30-34,Management
4766,5,February Lodge,Caroline,Chadwick,59,Head,Married,Female,Film/video editor,Not Specified,Christian,55-59,Tech
3657,5,Morris Plaza,Rosie,Chapman,30,Head,Divorced,Female,Video editor,Not Specified,Muslim,30-34,Tech
1005,5,Charity Avenue,June,Clark,49,Partner,Single,Female,Animal technologist,Not Specified,Unknown,45-49,Tech
10336,5,Stone Parkway,Harriet,Collier,50,Wife,Married,Female,Comptroller,Not Specified,Unknown,50-54,Other
10335,5,Stone Parkway,Justin,Collier,56,Head,Married,Male,General practice doctor,Not Specified,Unknown,55-59,Medical
960,5,Baker Road,Colin,Collins,18,Head,Single,Male,Student,Not Specified,Unknown,15-19,Student
8308,5,Cellar Lane,Barbara,Cook,13,Daughter,Minor,Female,Student,Not Specified,Christian,10-14,Student
8306,5,Cellar Lane,Shirley,Cook,41,Head,Married,Female,Patent attorney,Not Specified,Christian,40-44,Other
4439,5,Newry Locks,Amelia,Cook,86,Head,Single,Female,"Retired Scientist, research (medical)",Not Specified,Unknown,85-89,Retired
7360,5,Cardiff Street,Jean,Cox,7,Granddaughter,Minor,Female,Student,Not Specified,Unknown,5-9,Student
7359,5,Cardiff Street,Ross,Cox,70,Husband,Married,Male,Retired Chartered legal executive (England and Wales),Not Specified,Christian,70-74,Retired
7358,5,Cardiff Street,Lynne,Cox,73,Head,Married,Female,Retired Teaching laboratory technician,Not Specified,Christian,70-74,Retired
2321,5,Bradford Circles,Leah,Craig,63,Lodger,Widowed,Female,Therapeutic radiographer,Not Specified,Unknown,60-64,Other
1375,5,Mistletoe Crescent,Danielle,Davies,30,Daughter,Single,Female,Therapeutic radiographer,Not Specified,Christian,30-34,Other
1374,5,Mistletoe Crescent,Dylan,Davies,31,Son,Single,Male,Network engineer,Not Specified,Unknown,30-34,Engineering
1373,5,Mistletoe Crescent,Maurice,Davies,32,Son,Single,Male,Primary school teacher,Not Specified,Unknown,30-34,Education
1372,5,Mistletoe Crescent,Peter,Davies,36,Son,Divorced,Male,Equality and diversity officer,Not Specified,Christian,35-39,Tech
1371,5,Mistletoe Crescent,Ashleigh,Davies,60,Head,Divorced,Female,Estate manager/land agent,Not Specified,Christian,60-64,Management
6756,5,Duck Ville,Vanessa,Davis,27,Lodger,Divorced,Female,Forensic scientist,Not Specified,Unknown,25-29,Science
1004,5,Charity Avenue,Tony,Dixon,50,Head,Single,Male,Analytical chemist,Not Specified,Unknown,50-54,Other
7813,5,Inverness Street,Danielle,Douglas,50,Head,Single,Female,Energy engineer,Not Specified,Catholic,50-54,Engineering
8812,5,Jones Mission,Andrea,Edwards,41,Head,Married,Female,Medical secretary,Not Specified,Unknown,40-44,Medical
8813,5,Jones Mission,Keith,Edwards,44,Husband,Married,Male,Clinical cytogeneticist,Not Specified,Unknown,40-44,Medical
5987,5,Strawberry Lights,Frank,Farmer,64,Head,Single,Male,Music tutor,Not Specified,Christian,60-64,Other
4202,5,Lichfield Pass,Ann,Flynn,24,Head,Married,Female,Fish farm manager,Not Specified,Unknown,20-24,Management
4203,5,Lichfield Pass,Simon,Flynn,26,Husband,Married,Male,"Physicist, medical",Not Specified,Unknown,25-29,Medical
2349,5,Coconut Squares,Ronald,Foster,11,Son,Minor,Male,Student,Not Specified,Christian,10-14,Student
2348,5,Coconut Squares,Andrea,Foster,14,Daughter,Minor,Female,Student,Not Specified,Christian,10-14,Student
2346,5,Coconut Squares,Clare,Foster,53,Head,Single,Female,"Engineer, civil (contracting)",Not Specified,Christian,50-54,Engineering
9044,5,Duck Lodge,Jacob,Fraser,47,Head,Single,Male,Student,Not Specified,Methodist,45-49,Student
8558,5,Webster Hill,Pauline,Freeman,41,Daughter,Single,Female,Tax adviser,Not Specified,Methodist,40-44,Other
8557,5,Webster Hill,Mohammad,Freeman,56,Husband,Married,Male,Software engineer,Not Specified,Unknown,55-59,Engineering
8556,5,Webster Hill,Jean,Freeman,60,Head,Married,Female,Information systems manager,Not Specified,Methodist,60-64,Tech
6669,5,Springbox Lane,Holly,George,5,Daughter,Minor,Female,Student,Not Specified,Unknown,5-9,Student
6667,5,Springbox Lane,Grace,George,22,Head,Married,Female,University Student,Not Specified,Unknown,20-24,Tech
6668,5,Springbox Lane,Bryan,George,27,Husband,Married,Male,Insurance claims handler,Not Specified,Unknown,25-29,Other
1189,5,Green Avenue,Sharon,Gibson,1,Daughter,Minor,Female,Child,Not Specified,Unknown,0-4,Child
1188,5,Green Avenue,Mandy,Gibson,3,Daughter,Minor,Female,Child,Not Specified,Unknown,0-4,Child
1187,5,Green Avenue,Trevor,Gibson,7,Son,Minor,Male,Student,Not Specified,Unknown,5-9,Student
1186,5,Green Avenue,Debra,Gibson,11,Daughter,Minor,Female,Student,Not Specified,Unknown,10-14,Student
1185,5,Green Avenue,Geraldine,Gibson,43,Head,Widowed,Female,"Engineer, aeronautical",Not Specified,Unknown,40-44,Engineering
10033,5,Simmons Road,Charlotte,Gordon,46,Head,Single,Female,"Runner, broadcasting/film/video",Not Specified,Unknown,45-49,Creative Arts
8230,5,Rhubarb Bypass,William,Gray,34,Partner,Single,Male,English as a foreign language teacher,Not Specified,Unknown,30-34,Education
6692,5,Bulldog Avenue,Graeme,Griffiths,11,Grandson,Minor,Male,Student,Not Specified,Unknown,10-14,Student
6691,5,Bulldog Avenue,Melanie,Griffiths,15,Granddaughter,Minor,Female,Student,Not Specified,Unknown,15-19,Student
792,5,Rhubarb Street,Geraldine,Harris,3,Daughter,Minor,Female,Child,Not Specified,Unknown,0-4,Child
790,5,Rhubarb Street,Sarah,Harris,27,Head,Single,Female,Forensic scientist,Not Specified,Unknown,25-29,Science
7814,5,Inverness Street,Paula,Harris,34,Unknown,Single,Female,Planning and development surveyor,Not Specified,Sikh,30-34,Other
6690,5,Bulldog Avenue,Melissa,Harvey,66,Wife,Married,Female,"Surveyor, rural practice",Not Specified,Unknown,65-69,Other
6689,5,Bulldog Avenue,Benjamin,Harvey,69,Head,Married,Male,Retired Surgeon,Not Specified,Christian,65-69,Retired
1209,5,Winchester Field,Michelle,Hawkins,12,Daughter,Minor,Female,Student,Not Specified,Unknown,10-14,Student
1208,5,Winchester Field,Glen,Hawkins,21,Son,Divorced,Male,University Student,Not Specified,Unknown,20-24,Tech
1207,5,Winchester Field,Shirley,Hawkins,44,Wife,Married,Female,Catering manager,Not Specified,Unknown,40-44,Management
1206,5,Winchester Field,Connor,Hawkins,46,Head,Married,Male,Speech and language therapist,Not Specified,Unknown,45-49,Medical
10092,5,October Road,Dorothy,Hayes,20,Daughter,Divorced,Female,University Student,Not Specified,Christian,20-24,Tech
10091,5,October Road,Ashleigh,Hayes,24,Daughter,Divorced,Female,Occupational therapist,Not Specified,Christian,20-24,Medical
10089,5,October Road,Kathleen,Hayes,50,Head,Married,Female,Special educational needs teacher,Not Specified,Christian,50-54,Education
10090,5,October Road,Michael,Hayes,52,Husband,Married,Male,Tree surgeon,Not Specified,Christian,50-54,Medical
7777,5,Sheffield Plaza,Brett,Hill,21,Head,Single,Male,University Student,Not Specified,Unknown,20-24,Tech
4690,5,Williams Street,Tom,Holland,48,Head,Single,Male,Learning mentor,Not Specified,Methodist,45-49,Other
982,5,Hughes Isle,Josh,Howe,26,Head,Single,Male,Health physicist,Not Specified,Christian,25-29,Other
8425,5,Farthing Glens,Alexander,Howell,45,Son,Single,Male,"Accountant, chartered certified",Not Specified,Unknown,45-49,Finance
8424,5,Farthing Glens,Clifford,Howell,69,Head,Divorced,Male,Unemployed,Not Specified,Unknown,65-69,Unemployed
10065,5,Moore Village,Dylan,Hughes,62,Head,Single,Male,Nature conservation officer,Not Specified,Unknown,60-64,Management
7670,5,Anderson Villages,Dennis,James,12,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
7774,5,Sheffield Plaza,Stuart,James,19,Unknown,Single,Male,University Student,Not Specified,Unknown,15-19,Tech
7669,5,Anderson Villages,Melanie,James,47,Head,Single,Female,Unemployed,Not Specified,Catholic,45-49,Unemployed
793,5,Rhubarb Street,Oliver,Jennings,62,Lodger,Single,Male,"Engineer, civil (contracting)",Not Specified,Unknown,60-64,Engineering
9336,5,January Knolls,Dominic,Johnson,19,Head,Single,Male,University Student,Not Specified,Christian,15-19,Tech
9340,5,January Knolls,Andrew,Jones,18,Unknown,Single,Male,University Student,Not Specified,Muslim,15-19,Tech
6592,5,Scott Stream,Lewis,Jones,72,Head,Widowed,Male,Retired Television/film/video producer,Not Specified,Unknown,70-74,Retired
8734,5,Iris Forge,Neil,Kay,48,Head,Divorced,Male,Camera operator,Not Specified,Catholic,45-49,Other
7283,5,Lancaster Lane,Charlene,Kay,64,Head,Divorced,Female,Financial controller,Not Specified,Catholic,60-64,Finance
8231,5,Rhubarb Bypass,Maria,Kelly,7,Daughter,Minor,Female,Student,Not Specified,Unknown,5-9,Student
8229,5,Rhubarb Bypass,Anne,Kelly,32,Head,Single,Female,Clinical cytogeneticist,Not Specified,Unknown,30-34,Medical
9339,5,January Knolls,Julian,Kirk,20,Head,Single,Male,University Student,Not Specified,Methodist,20-24,Tech
4134,5,Kielderbind Avenue,Jeffrey,Knight,53,Head,Single,Male,Network engineer,Not Specified,Christian,50-54,Engineering
714,5,Phillips Alley,Gerald,Little,85,Head,Widowed,Male,Unemployed,Not Specified,Christian,85-89,Unemployed
1486,5,Butterfly Street,Carly,Lucas,15,Daughter,Minor,Female,Student,Unknown Infection,Unknown,15-19,Student
1485,5,Butterfly Street,Joel,Lucas,18,Son,Single,Male,Student,Not Specified,Unknown,15-19,Student
1484,5,Butterfly Street,Charlotte,Lucas,37,Head,Divorced,Female,Unemployed,Not Specified,Unknown,35-39,Unemployed
757,5,Calendar Mountains,Lauren,Marsden,60,Head,Single,Female,Office manager,Not Specified,Christian,60-64,Management
404,5,Bassenthwaite Motorway,Josephine,Marsh,13,Daughter,Minor,Female,Student,Not Specified,Catholic,10-14,Student
403,5,Bassenthwaite Motorway,Douglas,Marsh,20,Son,Single,Male,University Student,Not Specified,Catholic,20-24,Tech
402,5,Bassenthwaite Motorway,Christopher,Marsh,21,Son,Single,Male,University Student,Not Specified,Catholic,20-24,Tech
400,5,Bassenthwaite Motorway,Claire,Marsh,38,Head,Married,Female,Mechanical engineer,Not Specified,Catholic,35-39,Engineering
401,5,Bassenthwaite Motorway,Sean,Marsh,43,Husband,Married,Male,Optometrist,Not Specified,Unknown,40-44,Medical
9939,5,North Road,Terry,Marsh,83,Head,Divorced,Male,Retired Minerals surveyor,Not Specified,Unknown,80-84,Retired
9486,5,Brightwaterloop Drive,Aaron,Martin,0,Son,Minor,Male,Child,Not Specified,Jewish,0-4,Child
9484,5,Brightwaterloop Drive,Brandon,Martin,3,Son,Minor,Male,Child,Not Specified,Jewish,0-4,Child
9485,5,Brightwaterloop Drive,Rhys,Martin,3,Son,Minor,Male,Child,Not Specified,Jewish,0-4,Child
9483,5,Brightwaterloop Drive,Kim,Martin,5,Daughter,Minor,Female,Student,Not Specified,Jewish,5-9,Student
7306,5,Jones Drive,Francesca,Martin,32,Head,Divorced,Female,"Surveyor, insurance",Not Specified,Jewish,30-34,Other
9482,5,Brightwaterloop Drive,Angela,Martin,36,Head,Divorced,Female,Unemployed,Not Specified,Unknown,35-39,Unemployed
983,5,Hughes Isle,Denise,Mason,64,Head,Single,Female,"Surveyor, hydrographic",Not Specified,Christian,60-64,Other
5986,5,Strawberry Lights,Tracey,May,52,Head,Single,Female,Pathologist,Not Specified,Catholic,50-54,Other
10288,5,Calendar Ports,Janice,McDonald,49,Wife,Married,Female,IT sales professional,Not Specified,Unknown,45-49,Tech
3983,5,Evans Drive,Terence,Mellor,23,Head,Single,Male,PhD Student,Not Specified,Unknown,20-24,Student
9487,5,Brightwaterloop Drive,Antony,Miller,34,Visitor,Single,Male,Theatre director,Not Specified,Unknown,30-34,Management
7776,5,Sheffield Plaza,Tracey,Mistry,22,Head,Single,Female,University Student,Not Specified,Catholic,20-24,Tech
4135,5,Kielderbind Avenue,Josephine,Moore,41,Head,Single,Female,Fisheries officer,Not Specified,Unknown,40-44,Management
10110,5,Holly Street,Joanne,Newton,43,Head,Single,Female,Statistician,Not Specified,Catholic,40-44,Other
267,5,Eagle Road,Molly,Nicholls,64,Wife,Married,Female,Conference centre manager,Not Specified,Catholic,60-64,Management
266,5,Eagle Road,Ronald,Nicholls,65,Head,Married,Male,Games developer,Not Specified,Catholic,65-69,Tech
9664,5,Oyster Squares,Hilary,Noble,61,Wife,Married,Female,Health and safety inspector,Not Specified,Unknown,60-64,Other
9663,5,Oyster Squares,Marc,Noble,63,Head,Married,Male,Dance movement psychotherapist,Not Specified,Unknown,60-64,Medical
8011,5,Hereford Street,Gerard,O'Brien,22,Son,Single,Male,University Student,Not Specified,Unknown,20-24,Tech
8010,5,Hereford Street,Kelly,O'Brien,54,Head,Single,Female,Air broker,Not Specified,Unknown,50-54,Other
3733,5,Spider Avenue,Brandon,O'Connor,34,Son,Single,Male,Film/video editor,Not Specified,Unknown,30-34,Tech
9595,5,Dublin Avenue,Jeffrey,O'Connor-Williams,3,Adopted Son,Minor,Male,Child,Not Specified,Unknown,0-4,Child
9543,5,Christmas Stravenue,Hazel,O'Sullivan,7,Daughter,Minor,Female,Student,Not Specified,Christian,5-9,Student
9542,5,Christmas Stravenue,Shannon,O'Sullivan,10,Daughter,Minor,Female,Student,Not Specified,Christian,10-14,Student
9541,5,Christmas Stravenue,Cheryl,O'Sullivan,14,Daughter,Minor,Female,Student,Not Specified,Christian,10-14,Student
9540,5,Christmas Stravenue,Victoria,O'Sullivan,45,Head,Single,Female,Community pharmacist,Not Specified,Christian,45-49,Medical
10066,5,Moore Village,Robert,Osborne,57,Head,Single,Male,Higher education lecturer,Not Specified,Christian,55-59,Education
7812,5,Inverness Street,Annette,Owen,37,Head,Single,Female,Field seismologist,Not Specified,Unknown,35-39,Other
2936,5,Tannery Ways,Katherine,Parker,1,Daughter,Minor,Female,Child,Not Specified,Catholic,0-4,Child
2937,5,Tannery Ways,Dale,Parker,1,Son,Minor,Male,Child,Not Specified,Catholic,0-4,Child
2935,5,Tannery Ways,Joanne,Parker,8,Daughter,Minor,Female,Student,Not Specified,Catholic,5-9,Student
3986,5,Evans Drive,Carolyn,Parker,28,Unknown,Single,Female,PhD Student,Not Specified,Christian,25-29,Student
2934,5,Tannery Ways,Pamela,Parker,44,Head,Single,Female,Unemployed,Not Specified,Catholic,40-44,Unemployed
6802,5,Yellow Roads,Joseph,Parkes-Ball,4,Son,Minor,Male,Child,Not Specified,Unknown,0-4,Child
6801,5,Yellow Roads,Nicola,Parkes-Ball,20,Daughter,Divorced,Female,University Student,Not Specified,Unknown,20-24,Tech
6799,5,Yellow Roads,Ashley,Parkes-Ball,24,Son,Divorced,Male,Animal technologist,Not Specified,Christian,20-24,Tech
6800,5,Yellow Roads,Bethan,Parkes-Ball,24,Daughter,Single,Female,"Civil engineer, contracting",Not Specified,Unknown,20-24,Engineering
8,5,Williams Lane,Naomi,Price,23,Head,Single,Female,"Teacher, secondary school",Not Specified,Unknown,20-24,Education
10289,5,Calendar Ports,Jennifer,Richardson,7,Daughter,Minor,Female,Student,Physical Disability,Unknown,5-9,Student
10287,5,Calendar Ports,Marcus,Richardson,52,Head,Married,Male,Archaeologist,Not Specified,Unknown,50-54,Other
3735,5,Spider Avenue,Molly,Riley,25,Daughter,Single,Female,General practice doctor,Not Specified,Unknown,25-29,Medical
7775,5,Sheffield Plaza,Julia,Roberts,20,Unknown,Single,Female,University Student,Not Specified,Unknown,20-24,Tech
981,5,Hughes Isle,Harriet,Roberts,33,Head,Single,Female,"Development worker, international aid",Not Specified,Unknown,30-34,Other
4487,5,Parrot Plains,Graeme,Robson,37,Partner,Single,Male,Television/film/video producer,Not Specified,Catholic,35-39,Creative Arts
553,5,Marsh Bypass,Alice,Robson,57,Wife,Married,Female,Clothing/textile technologist,Not Specified,Christian,55-59,Tech
552,5,Marsh Bypass,Ryan,Robson,60,Head,Married,Male,Telecommunications researcher,Not Specified,Christian,60-64,Science
7748,5,Pendragon Ridges,Leon,Shaw,9,Son,Minor,Male,Student,Not Specified,Christian,5-9,Student
7746,5,Pendragon Ridges,Andrea,Shaw,25,Head,Married,Female,"Copywriter, advertising",Not Specified,Christian,25-29,Tech
7747,5,Pendragon Ridges,Jordan,Shaw,25,Husband,Married,Male,Paediatric nurse,Not Specified,Christian,25-29,Medical
4691,5,Williams Street,Garry,Simpson,34,Head,Single,Male,Stage manager,Not Specified,Unknown,30-34,Management
1735,5,Davies Island,Michael,Sims,10,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
1736,5,Davies Island,Bernard,Sims,10,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
1734,5,Davies Island,Emma,Sims,13,Daughter,Minor,Female,Student,Not Specified,Catholic,10-14,Student
1733,5,Davies Island,Nicholas,Sims,20,Son,Single,Male,University Student,Not Specified,Catholic,20-24,Tech
1731,5,Davies Island,Dylan,Sims,42,Head,Married,Male,Primary school teacher,Not Specified,Catholic,40-44,Education
1732,5,Davies Island,Chloe,Sims,42,Wife,Married,Female,Warden/ranger,Not Specified,Catholic,40-44,Other
2856,5,Hereford Drive,Anne,Singh,17,Daughter,Minor,Female,Student,Not Specified,Methodist,15-19,Student
3734,5,Spider Avenue,Russell,Singh,26,Son,Divorced,Male,Astronomer,Not Specified,Unknown,25-29,Other
2854,5,Hereford Drive,Jacqueline,Singh,55,Head,Married,Female,Public relations officer,Not Specified,Methodist,55-59,Management
2855,5,Hereford Drive,Dean,Singh,56,Husband,Married,Male,Chief Executive Officer,Not Specified,Unknown,55-59,Management
706,5,Bennett Lane,Marc,Smith,0,Son,Minor,Male,Child,Not Specified,Christian,0-4,Child
705,5,Bennett Lane,Sally,Smith,3,Daughter,Minor,Female,Child,Not Specified,Christian,0-4,Child
863,5,Norris Shores,Grace,Smith,16,Daughter,Minor,Female,Student,Not Specified,Christian,15-19,Student
862,5,Norris Shores,Marion,Smith,24,Daughter,Single,Female,Psychiatric nurse,Not Specified,Christian,20-24,Medical
4132,5,Kielderbind Avenue,Colin,Smith,32,Head,Single,Male,"Scientist, research (physical sciences)",Not Specified,Christian,30-34,Science
704,5,Bennett Lane,Kevin,Smith,34,Husband,Married,Male,Quarry manager,Not Specified,Catholic,30-34,Management
126,5,Spider Street,Owen,Smith,35,Lodger,Single,Male,Financial adviser,Not Specified,Christian,35-39,Finance
703,5,Bennett Lane,Joanna,Smith,35,Head,Married,Female,Broadcast presenter,Not Specified,Catholic,35-39,Media & Entertainment
2879,5,Nelson Locks,Kirsty,Smith,52,Head,Married,Female,Art therapist,Not Specified,Christian,50-54,Medical
2880,5,Nelson Locks,Lewis,Smith,55,Husband,Married,Male,Dramatherapist,Not Specified,Unknown,55-59,Medical
860,5,Norris Shores,Danielle,Smith,64,Head,Single,Female,Graphic designer,Not Specified,Christian,60-64,Creative Arts
7010,5,Allan Mountains,Josh,Smith-Jackson,72,Husband,Married,Male,Retired Brewing technologist,Not Specified,Christian,70-74,Retired
7009,5,Allan Mountains,Lisa,Smith-Jackson,73,Head,Married,Female,"Retired Journalist, magazine",Not Specified,Christian,70-74,Retired
8526,5,Oaktree Road,Jenna,Stanley,19,Head,Married,Female,University Student,Not Specified,Christian,15-19,Tech
8527,5,Oaktree Road,Albert,Stanley,23,Husband,Unknown,Male,"Solicitor, Scotland",Not Specified,Unknown,20-24,Tech
1042,5,St.John Falls,Katy,Stephens,83,Head,Widowed,Female,Retired Community pharmacist,Not Specified,Methodist,80-84,Retired
7773,5,Sheffield Plaza,Samuel,Stone,19,Head,Single,Male,University Student,Not Specified,Methodist,15-19,Tech
452,5,O'Brien Center,Philip,Stone,69,Head,Married,Male,"Retired Engineer, maintenance",Not Specified,Christian,65-69,Retired
453,5,O'Brien Center,Hayley,Stone,69,Wife,Married,Female,"Retired Geologist, engineering",Not Specified,Christian,65-69,Retired
6608,5,Bond Glen,Shannon,Taylor,32,Daughter,Single,Female,Magazine features editor,Not Specified,Unknown,30-34,Tech
6609,5,Bond Glen,George,Taylor,32,Son,Divorced,Male,Publishing copy,Not Specified,Unknown,30-34,Other
6606,5,Bond Glen,Alice,Taylor,61,Head,Married,Female,Rural practice surveyor,Not Specified,Christian,60-64,Other
6607,5,Bond Glen,Terence,Taylor,65,Husband,Married,Male,Unemployed,Not Specified,Unknown,65-69,Unemployed
9337,5,January Knolls,Karen,Thomas,18,Head,Single,Female,University Student,Not Specified,Christian,15-19,Tech
2392,5,Brightwater Street,Louise,Ward,42,Partner,Single,Female,Writer,Not Specified,Unknown,40-44,Tech
2320,5,Bradford Circles,Nathan,Warren,0,Son,Minor,Male,Child,Not Specified,Christian,0-4,Child
3344,5,Grape Drive,Jacqueline,Warren,2,Daughter,Minor,Female,Child,Not Specified,Christian,0-4,Child
2319,5,Bradford Circles,Sylvia,Warren,3,Daughter,Minor,Female,Child,Not Specified,Christian,0-4,Child
3342,5,Grape Drive,Katie,Warren,5,Daughter,Minor,Female,Student,Not Specified,Christian,5-9,Student
3343,5,Grape Drive,Carly,Warren,5,Daughter,Minor,Female,Student,Not Specified,Christian,5-9,Student
2317,5,Bradford Circles,Diane,Warren,39,Head,Married,Female,Chief Marketing Officer,Not Specified,Christian,35-39,Management
2318,5,Bradford Circles,Darren,Warren,41,Husband,Married,Male,"Lighting technician, broadcasting/film/video",Not Specified,Christian,40-44,Tech
3340,5,Grape Drive,Sally,Warren,45,Head,Married,Female,"Accountant, chartered certified",Not Specified,Unknown,45-49,Finance
3341,5,Grape Drive,Stewart,Warren,48,Husband,Married,Male,Sport and exercise psychologist,Not Specified,Unknown,45-49,Other
4488,5,Parrot Plains,Matthew,Watson,9,Son,Minor,Male,Student,Not Specified,Catholic,5-9,Student
4486,5,Parrot Plains,Lynda,Watson,35,Head,Single,Female,Probation officer,Not Specified,Catholic,35-39,Management
861,5,Norris Shores,Billy,Wells,65,Partner,Single,Male,Press photographer,Not Specified,Christian,65-69,Creative Arts
2981,5,Cook Drives,Francesca,West,31,Head,Divorced,Female,Amenity horticulturist,Not Specified,Unknown,30-34,Tech
3576,5,First Drive,Judith,Weston,3,Daughter,Minor,Female,Child,Not Specified,Unknown,0-4,Child
3575,5,First Drive,Kimberley,Weston,5,Daughter,Minor,Female,Student,Not Specified,Unknown,5-9,Student
3573,5,First Drive,Melanie,Weston,42,Head,Married,Female,IT consultant,Not Specified,Unknown,40-44,Tech
3574,5,First Drive,Stanley,Weston,42,Husband,Married,Male,Mining engineer,Not Specified,Unknown,40-44,Engineering
2395,5,Brightwater Street,Ricky,Wilkinson,4,Son,Minor,Male,Child,Not Specified,Unknown,0-4,Child
2394,5,Brightwater Street,Debra,Wilkinson,7,Daughter,Minor,Female,Student,Deaf,Unknown,5-9,Student
2393,5,Brightwater Street,Melanie,Wilkinson,13,Daughter,Minor,Female,Student,Not Specified,Unknown,10-14,Student
9338,5,January Knolls,Mohammed,Wilkinson,22,Unknown,Single,Male,University Student,Not Specified,Unknown,20-24,Tech
2391,5,Brightwater Street,Nicholas,Wilkinson,41,Head,Single,Male,Midwife,Not Specified,Unknown,40-44,Other
9594,5,Dublin Avenue,Heather,Williams,7,Daughter,Minor,Female,Student,Not Specified,Unknown,5-9,Student
9593,5,Dublin Avenue,Gregory,Williams,8,Son,Minor,Male,Student,Not Specified,Unknown,5-9,Student
9592,5,Dublin Avenue,Joe,Williams,12,Adopted Son,Minor,Male,Student,Not Specified,Unknown,10-14,Student
9591,5,Dublin Avenue,Malcolm,Williams,34,Head,Single,Male,"Scientist, clinical (histocompatibility and immunogenetics)",Not Specified,Unknown,30-34,Medical
4617,5,Sagittarius Field,Tony,Wilson,14,Son,Minor,Male,Student,Not Specified,Unknown,10-14,Student
4616,5,Sagittarius Field,Colin,Wilson,18,Son,Single,Male,Student,Not Specified,Unknown,15-19,Student
4615,5,Sagittarius Field,Cameron,Wilson,52,Head,Divorced,Male,Media buyer,Not Specified,Unknown,50-54,Creative Arts
6755,5,Duck Ville,Danny,Wong,51,Lodger,Single,Male,Neurosurgeon,Not Specified,Christian,50-54,Medical
9237,6,Horseshoe Lakes,Martin,Ahmed,14,Son,Minor,Male,Student,Not Specified,Catholic,10-14,Student
9236,6,Horseshoe Lakes,Kim,Ahmed,17,Daughter,Minor,Female,Student,Not Specified,Catholic,15-19,Student
9235,6,Horseshoe Lakes,Emily,Ahmed,19,Daughter,Single,Female,University Student,Not Specified,Catholic,15-19,Tech
9234,6,Horseshoe Lakes,Francesca,Ahmed,35,Head,Widowed,Female,Armed forces operational officer,Not Specified,Catholic,35-39,Management
1377,6,Mistletoe Crescent,Linda,Ashton,19,Head,Single,Female,University Student,Not Specified,Methodist,15-19,Tech
10034,6,Simmons Road,Vanessa,Bailey,46,Head,Married,Female,"Investment banker, operational",Not Specified,Catholic,45-49,Finance
10035,6,Simmons Road,Gavin,Bailey,48,Husband,Married,Male,Call centre manager,Not Specified,Catholic,45-49,Management
1006,6,Charity Avenue,Beverley,Bailey,53,Head,Single,Female,Social researcher,Not Specified,Methodist,50-54,Science
9665,6,Oyster Squares,Denis,Barker,40,Head,Single,Male,"Scientist, research (life sciences)",Not Specified,Catholic,40-44,Science
794,6,Rhubarb Street,Marie,Barlow,53,Head,Single,Female,"Teacher, adult education",Not Specified,Unknown,50-54,Education
4697,6,Williams Street,Billy,Barnes,38,Head,Single,Male,"Lecturer, higher education",Not Specified,Unknown,35-39,Education
